schedule_id,user_id,fund_id,sip_amount,frequency,debit_day,next_debit,bank_account,status
1,1825,7,1000,MONTHLY,24,2025-05-21,Axis-3342331444,ACTIVE
2,521,8,3000,MONTHLY,3,2025-04-22,Axis-3410529190,ACTIVE
3,8929,108,1500,QUARTERLY,8,2025-08-18,Indian Bank-4460967357,ACTIVE
4,5575,72,500,MONTHLY,5,2025-04-21,PNB-5710360983,PAUSED
5,9892,68,3000,MONTHLY,26,2025-01-23,Union Bank-9256195745,ACTIVE
6,4804,213,3000,MONTHLY,21,2025-11-13,PNB-1298737106,ACTIVE
7,4742,21,2000,MONTHLY,28,2025-04-30,HDFC-2566942273,ACTIVE
8,3433,172,3000,MONTHLY,9,2025-12-26,HDFC-2051454923,ACTIVE
9,4423,237,1000,MONTHLY,21,2025-12-19,BOB-4332894265,ACTIVE
10,526,207,500,MONTHLY,11,2025-07-25,Kotak-2351531223,ACTIVE
11,6483,227,1500,MONTHLY,21,2025-08-23,ICICI-7609857128,ACTIVE
12,7020,230,1000,YEARLY,19,2025-07-24,PNB-3119634399,ACTIVE
13,1797,40,3000,MONTHLY,21,2025-03-23,Canara-9573276057,ACTIVE
14,9065,221,5000,QUARTERLY,1,2025-12-15,HDFC-8519962896,ACTIVE
15,5574,29,2000,MONTHLY,10,2025-08-11,ICICI-8385972235,COMPLETED
16,2928,130,10000,MONTHLY,4,2025-11-17,Kotak-3615507143,ACTIVE
17,2647,139,3000,MONTHLY,25,2025-09-29,SBI-1083651970,CANCELLED
18,5039,62,500,MONTHLY,2,2025-05-04,Indian Bank-4289233844,ACTIVE
19,7788,243,3000,QUARTERLY,18,2025-03-26,Kotak-6633778586,COMPLETED
20,6119,113,1000,MONTHLY,17,2025-08-20,HDFC-2452066459,ACTIVE
21,3771,151,5000,MONTHLY,8,2025-01-04,HDFC-1983297492,CANCELLED
22,5414,19,5000,MONTHLY,17,2025-05-02,Kotak-3315992115,ACTIVE
23,9356,148,10000,MONTHLY,16,2025-05-05,Union Bank-1405126228,ACTIVE
24,5805,109,5000,MONTHLY,14,2025-08-28,SBI-3775320897,ACTIVE
25,5560,205,1000,MONTHLY,28,2025-02-25,Axis-2926780541,ACTIVE
26,4564,119,10000,QUARTERLY,8,2025-02-08,Union Bank-3363629219,ACTIVE
27,8857,215,1000,MONTHLY,1,2025-02-17,Axis-3067418686,PAUSED
28,961,43,1500,HALF_YEARLY,13,2025-01-02,Canara-8667072205,ACTIVE
29,9106,170,1000,MONTHLY,23,2025-09-07,ICICI-5160575046,ACTIVE
