system_user_id,name,email,role,department,status,last_login
1,Officer_1,officer1@sipmanagement.com,FUND_MANAGER,Operations,ACTIVE,2024-10-16 03:01:00
2,Officer_2,officer2@sipmanagement.com,SUPER_ADMIN,Technology,ACTIVE,2025-01-24 03:43:00
3,Officer_3,officer3@sipmanagement.com,COMPLIANCE_OFFICER,Technology,ACTIVE,2023-01-31 02:13:00
4,Officer_4,officer4@sipmanagement.com,ANALYST,Operations,ACTIVE,2024-07-28 06:45:00
5,Officer_5,officer5@sipmanagement.com,COMPLIANCE_OFFICER,Risk,ACTIVE,2023-10-12 00:48:00
6,Officer_6,officer6@sipmanagement.com,FUND_MANAGER,Compliance,ACTIVE,2023-06-09 06:48:00
7,Officer_7,officer7@sipmanagement.com,FUND_MANAGER,Technology,ACTIVE,2023-04-10 11:54:00
8,Officer_8,officer8@sipmanagement.com,SUPER_ADMIN,Risk,ACTIVE,2023-02-14 23:29:00
9,Officer_9,officer9@sipmanagement.com,FUND_MANAGER,Technology,ACTIVE,2023-10-28 20:39:00
10,Officer_10,officer10@sipmanagement.com,COMPLIANCE_OFFICER,Investments,INACTIVE,2023-03-13 01:42:00
11,Officer_11,officer11@sipmanagement.com,SUPER_ADMIN,Risk,ACTIVE,2025-05-25 07:55:00
12,Officer_12,officer12@sipmanagement.com,FUND_MANAGER,Investments,ACTIVE,2024-10-12 11:10:00
13,Officer_13,officer13@sipmanagement.com,SUPER_ADMIN,Technology,ACTIVE,2023-10-01 22:59:00
14,Officer_14,officer14@sipmanagement.com,COMPLIANCE_OFFICER,Risk,ACTIVE,2024-06-30 23:15:00
15,Officer_15,officer15@sipmanagement.com,COMPLIANCE_OFFICER,Investments,ACTIVE,2024-10-17 22:35:00
16,Officer_16,officer16@sipmanagement.com,SUPER_ADMIN,Investments,ACTIVE,2025-03-05 01:14:00
17,Officer_17,officer17@sipmanagement.com,FUND_MANAGER,Operations,ACTIVE,2023-03-09 06:58:00
18,Officer_18,officer18@sipmanagement.com,COMPLIANCE_OFFICER,Investments,ACTIVE,2024-02-10 20:29:00
19,Officer_19,officer19@sipmanagement.com,FUND_MANAGER,Technology,ACTIVE,2025-02-01 17:34:00
20,Officer_20,officer20@sipmanagement.com,COMPLIANCE_OFFICER,Operations,ACTIVE,2024-08-20 12:23:00
21,Officer_21,officer21@sipmanagement.com,SUPER_ADMIN,Operations,ACTIVE,2023-04-04 01:55:00
22,Officer_22,officer22@sipmanagement.com,SUPER_ADMIN,Risk,ACTIVE,2025-03-22 21:27:00
23,Officer_23,officer23@sipmanagement.com,SUPER_ADMIN,Compliance,ACTIVE,2024-04-24 16:16:00
24,Officer_24,officer24@sipmanagement.com,FUND_MANAGER,Compliance,ACTIVE,2024-07-03 08:49:00
