user_id,full_name,email,phone,pan_number,aadhaar_last4,role,mfa_enabled,kyc_status,city,state,created_at,last_login,status
1,Anvi Konda,user1@sipdemo.com,9016525808,GDCTO5002T,6319,INVESTOR,True,VERIFIED,Mumbai,Maharashtra,2024-08-20 04:02:55,2026-03-07 04:02:55,ACTIVE
2,Gagan Sami,user2@sipdemo.com,9067988348,SNZJO8685W,1367,INVESTOR,True,VERIFIED,New Delhi,Delhi,2022-08-03 13:28:25,2022-10-31 13:28:25,ACTIVE
3,Tejas Kaul,user3@sipdemo.com,9409572486,JZQOR8720K,1175,INVESTOR,False,PENDING,Coimbatore,Tamil Nadu,2021-08-24 17:14:23,2024-03-28 17:14:23,ACTIVE
4,Rushil Saini,user4@sipdemo.com,9598076526,MTWDE6535O,1449,INVESTOR,False,REJECTED,Coimbatore,Tamil Nadu,2023-12-23 08:23:12,2026-11-01 08:23:12,ACTIVE
5,Abeer Dutta,user5@sipdemo.com,9413982250,HQPDT5750K,7895,INVESTOR,False,PENDING,Lucknow,Uttar Pradesh,2022-07-29 14:03:26,2026-01-30 14:03:26,ACTIVE
6,Arunima Dugal,user6@sipdemo.com,9235220629,YTRSK6384H,8026,INVESTOR,True,VERIFIED,Agra,Uttar Pradesh,2024-12-03 15:04:41,2026-02-10 15:04:41,ACTIVE
7,Harsh Chanda,user7@sipdemo.com,9078115114,UECLL4769D,8088,INVESTOR,True,REJECTED,Hyderabad,Telangana,2022-07-20 09:02:40,2025-03-15 09:02:40,ACTIVE
8,Hemangini Lalla,user8@sipdemo.com,9677641207,MFKBJ9274N,0304,INVESTOR,True,VERIFIED,Coimbatore,Tamil Nadu,2023-05-12 01:20:12,2025-08-22 01:20:12,ACTIVE
9,Jeet Radhakrishnan,user9@sipdemo.com,9592723623,BWKYO5006S,7049,COMPLIANCE_OFFICER,True,VERIFIED,Bengaluru,Karnataka,2025-06-17 09:27:28,2028-10-18 09:27:28,ACTIVE
10,Janaki Handa,user10@sipdemo.com,9269111526,WJEVS6960R,7262,INVESTOR,True,VERIFIED,Hubli,Karnataka,2021-11-17 04:06:31,2022-04-07 04:06:31,ACTIVE
11,Vedant Mann,user11@sipdemo.com,9958511387,IDZEL7519W,8822,INVESTOR,False,REJECTED,Kolkata,West Bengal,2024-12-15 04:22:22,2024-12-23 04:22:22,ACTIVE
12,Harrison Rai,user12@sipdemo.com,9730419388,WATIY8882Z,2632,INVESTOR,False,VERIFIED,Coimbatore,Tamil Nadu,2026-05-03 06:50:38,2027-05-01 06:50:38,ACTIVE
13,Nicholas Prabhakar,user13@sipdemo.com,9918104586,CZEZG1473T,9714,ANALYST,False,VERIFIED,Kanpur,Uttar Pradesh,2022-11-09 22:14:06,2023-01-05 22:14:06,ACTIVE
14,Ekbal Garg,user14@sipdemo.com,9548327634,IKKHD4969T,6579,INVESTOR,True,VERIFIED,Nagpur,Maharashtra,2023-03-28 18:25:12,2026-01-30 18:25:12,ACTIVE
15,Nihal Shere,user15@sipdemo.com,9573316888,RFFAG4804U,7286,INVESTOR,True,PENDING,New Delhi,Delhi,2024-02-13 01:15:20,2025-06-09 01:15:20,ACTIVE
16,Ekta Bhalla,user16@sipdemo.com,9874226756,NOITL8849O,2022,INVESTOR,True,VERIFIED,Mangalore,Karnataka,2023-05-11 04:59:43,2027-02-07 04:59:43,ACTIVE
17,Diya Rattan,user17@sipdemo.com,9549238857,KIMBV3790Y,7842,INVESTOR,False,VERIFIED,Mysuru,Karnataka,2022-08-14 01:06:51,2022-12-24 01:06:51,ACTIVE
18,Divya Kala,user18@sipdemo.com,9032373782,XZNXP6048F,0059,INVESTOR,True,VERIFIED,Surat,Gujarat,2022-10-22 13:06:52,2025-06-06 13:06:52,ACTIVE
19,Tara Dhar,user19@sipdemo.com,9671891036,VQGMC9423T,9370,INVESTOR,True,VERIFIED,Cuttack,Odisha,2024-09-17 22:18:03,2025-10-31 22:18:03,ACTIVE
